Index,Stroke,Club,Phase,Start Loc,Start Dist,End Loc,End Dist,Strokes Gained,Tee,Course,Date,Hole,Strokes to Hole
1,1,Driver,Tee,Tee,390,Rough,100,-0.04,Medal,LaurelCreek,2/21/2018,1,6
2,2,AW,APPR<125,Rough,100,Sand,10,-0.41,Medal,LaurelCreek,2/21/2018,1,5
3,3,LW,Short Game,Sand,10,Green,15,-0.36,Medal,LaurelCreek,2/21/2018,1,4
4,4,Putter,Green,Green,15,Green,6,-0.567,Medal,LaurelCreek,2/21/2018,1,3
5,5,Putter,Green,Green,6,Green,1,-0.644,Medal,LaurelCreek,2/21/2018,1,2
6,6,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,1,1
7,7,Driver,Tee,Tee,349,Fairway,105,0.075,Medal,LaurelCreek,2/21/2018,2,4
8,8,SW,APPR<125,Fairway,105,Green,14,0.048,Medal,LaurelCreek,2/21/2018,2,3
9,9,Putter,Green,Green,14,Green,2,-0.244,Medal,LaurelCreek,2/21/2018,2,2
10,10,Putter,Green,Green,2,In the Hole,0,0.009,Medal,LaurelCreek,2/21/2018,2,1
11,11,6i,Tee,Tee,165,Sand,20,-0.525,Medal,LaurelCreek,2/21/2018,3,4
12,12,LW,Short Game,Sand,20,Rough,20,-1.06,Medal,LaurelCreek,2/21/2018,3,3
13,13,LW,Short Game,Rough,20,Rough,8,-0.75,Medal,LaurelCreek,2/21/2018,3,2
14,14,LW,Short Game,Rough,8,In the Hole,0,1.34,Medal,LaurelCreek,2/21/2018,3,1
15,15,Driver,Tee,Tee,355,Fairway,160,-0.075,Medal,LaurelCreek,2/21/2018,4,5
16,16,5i,APPR125-175,Fairway,160,Green,40,-0.075,Medal,LaurelCreek,2/21/2018,4,4
17,17,Putter,Green,Green,40,Green,10,-0.571,Medal,LaurelCreek,2/21/2018,4,3
18,18,Putter,Green,Green,10,Green,2,-0.383,Medal,LaurelCreek,2/21/2018,4,2
19,19,Putter,Green,Green,2,In the Hole,0,0.009,Medal,LaurelCreek,2/21/2018,4,1
20,20,Driver,Tee,Tee,482,Fairway,295,-0.453,Medal,LaurelCreek,2/21/2018,5,6
21,21,3H,APPR210+,Fairway,295,Fairway,66,0.035,Medal,LaurelCreek,2/21/2018,5,5
22,22,LW,Short Game,Fairway,66,Green,30,-0.266,Medal,LaurelCreek,2/21/2018,5,4
23,23,Putter,Green,Green,30,Green,5,-0.278,Medal,LaurelCreek,2/21/2018,5,3
24,24,Putter,Green,Green,5,Green,1,-0.745,Medal,LaurelCreek,2/21/2018,5,2
25,25,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,5,1
26,26,Driver,Tee,Tee,400,Fairway,145,0.062,Medal,LaurelCreek,2/21/2018,6,4
27,27,PW,APPR125-175,Fairway,145,Green,15,0.138,Medal,LaurelCreek,2/21/2018,6,3
28,28,Putter,Green,Green,15,Green,1,-0.211,Medal,LaurelCreek,2/21/2018,6,2
29,29,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,6,1
30,30,8i,Tee,Tee,155,Green,35,-0.031,Medal,LaurelCreek,2/21/2018,7,3
31,31,Putter,Green,Green,35,Green,4,-0.131,Medal,LaurelCreek,2/21/2018,7,2
32,32,Putter,Green,Green,4,In the Hole,0,0.147,Medal,LaurelCreek,2/21/2018,7,1
33,33,4i,Tee,Tee,311,Fairway,100,-0.046,Medal,LaurelCreek,2/21/2018,8,5
34,34,SW,APPR<125,Fairway,100,Green,30,-0.178,Medal,LaurelCreek,2/21/2018,8,4
35,35,Putter,Green,Green,30,Green,5,-0.278,Medal,LaurelCreek,2/21/2018,8,3
36,36,Putter,Green,Green,5,Green,1,-0.745,Medal,LaurelCreek,2/21/2018,8,2
37,37,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,8,1
38,38,Driver,Tee,Tee,495,Penalty,195,-1.0125,Medal,LaurelCreek,2/21/2018,9,6
39,39,Penalty,Penalty,Penalty,195,Penalty,0,0,Medal,LaurelCreek,2/21/2018,9,5
40,40,6i,APPR176-210,Rough,195,Sand,20,-0.137,Medal,LaurelCreek,2/21/2018,9,4
41,41,LW,Short Game,Sand,20,Green,12,-0.175,Medal,LaurelCreek,2/21/2018,9,3
42,42,Putter,Green,Green,12,Green,1,-0.296,Medal,LaurelCreek,2/21/2018,9,2
43,43,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,9,1
44,44,Driver,Tee,Tee,400,Fairway,150,0.045,Medal,LaurelCreek,2/21/2018,10,4
45,45,8i,APPR125-175,Fairway,150,Fairway,25,-0.515,Medal,LaurelCreek,2/21/2018,10,3
46,46,SW,Short Game,Fairway,25,Green,8,-0.055,Medal,LaurelCreek,2/21/2018,10,2
47,47,Putter,Green,Green,8,In the Hole,0,0.515,Medal,LaurelCreek,2/21/2018,10,1
48,48,3W,Tee,Tee,342,Rough,150,-0.324,Medal,LaurelCreek,2/21/2018,11,5
49,49,7i,APPR125-175,Rough,150,Green,30,0.212,Medal,LaurelCreek,2/21/2018,11,4
50,50,Putter,Green,Green,30,Green,6,-0.379,Medal,LaurelCreek,2/21/2018,11,3
51,51,Putter,Green,Green,6,Green,1,-0.644,Medal,LaurelCreek,2/21/2018,11,2
52,52,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,11,1
53,53,Driver,Tee,Tee,412,Fairway,195,-0.151,Medal,LaurelCreek,2/21/2018,12,4
54,54,3H,APPR176-210,Fairway,195,Green,35,0.147,Medal,LaurelCreek,2/21/2018,12,3
55,55,Putter,Green,Green,35,Green,4,-0.131,Medal,LaurelCreek,2/21/2018,12,2
56,56,Putter,Green,Green,4,In the Hole,0,0.147,Medal,LaurelCreek,2/21/2018,12,1
57,57,Driver,Tee,Tee,360,Fairway,150,-0.025,Medal,LaurelCreek,2/21/2018,13,5
58,58,7i,APPR125-175,Fairway,150,Sand,20,-0.585,Medal,LaurelCreek,2/21/2018,13,4
59,59,LW,Short Game,Sand,20,Green,10,-0.096,Medal,LaurelCreek,2/21/2018,13,3
60,60,Putter,Green,Green,10,Green,1,-0.375,Medal,LaurelCreek,2/21/2018,13,2
61,61,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,13,1
62,62,8i,Tee,Tee,150,Green,20,0.102,Medal,LaurelCreek,2/21/2018,14,3
63,63,Putter,Green,Green,20,Green,3,-0.175,Medal,LaurelCreek,2/21/2018,14,2
64,64,Putter,Green,Green,3,In the Hole,0,0.053,Medal,LaurelCreek,2/21/2018,14,1
65,65,Driver,Tee,Tee,466,Rough,190,-0.159,Medal,LaurelCreek,2/21/2018,15,5
66,66,6i,APPR176-210,Rough,190,Fairway,60,-0.335,Medal,LaurelCreek,2/21/2018,15,4
67,67,SW,Short Game,Fairway,60,Rough,10,-0.64,Medal,LaurelCreek,2/21/2018,15,3
68,68,LW,Short Game,Rough,10,Green,5,0.084,Medal,LaurelCreek,2/21/2018,15,2
69,69,Putter,Green,Green,5,In the Hole,0,0.256,Medal,LaurelCreek,2/21/2018,15,1
70,70,3W,Tee,Tee,368,Fairway,133,0.047,Medal,LaurelCreek,2/21/2018,16,4
71,71,PW,APPR125-175,Fairway,133,Green,10,0.263,Medal,LaurelCreek,2/21/2018,16,3
72,72,Putter,Green,Green,10,Green,1,-0.375,Medal,LaurelCreek,2/21/2018,16,2
73,73,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,16,1
74,74,5i,Tee,Tee,195,Green,12,0.4,Medal,LaurelCreek,2/21/2018,17,3
75,75,Putter,Green,Green,12,Green,1,-0.296,Medal,LaurelCreek,2/21/2018,17,2
76,76,Putter,Green,Green,1,In the Hole,0,0.001,Medal,LaurelCreek,2/21/2018,17,1
77,77,3W,Tee,Tee,407,Fairway,160,0.024,Medal,LaurelCreek,2/21/2018,18,4
78,78,8i,APPR125-175,Fairway,160,Green,15,0.19,Medal,LaurelCreek,2/21/2018,18,3
79,79,Putter,Green,Green,15,Green,4,-0.357,Medal,LaurelCreek,2/21/2018,18,2
80,80,Putter,Green,Green,4,In the Hole,0,0.147,Medal,LaurelCreek,2/21/2018,18,1
1,1,Driver,Tee,Tee,417,Fairway,105,0.204,Palmer,LaurelCreek,12/14/2018,1,4
2,2,AW,APPR<125,Fairway,105,Green,8,0.298,Palmer,LaurelCreek,12/14/2018,1,3
3,3,Putter,Green,Green,8,Green,4,-0.632,Palmer,LaurelCreek,12/14/2018,1,2
4,4,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,12/14/2018,1,1
5,5,Driver,Tee,Tee,360,Fairway,105,0.107,Palmer,LaurelCreek,12/14/2018,2,6
6,6,SW,APPR<125,Fairway,105,Sand,30,-0.848,Palmer,LaurelCreek,12/14/2018,2,5
7,7,LW,Short Game,Sand,30,Green,28,-0.301,Palmer,LaurelCreek,12/14/2018,2,4
8,8,Putter,Green,Green,28,Green,7,-0.482,Palmer,LaurelCreek,12/14/2018,2,3
9,9,Putter,Green,Green,7,Green,1,-0.558,Palmer,LaurelCreek,12/14/2018,2,2
10,10,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,2,1
11,11,9i,Tee,Tee,148,Green,20,0.1,Palmer,LaurelCreek,12/14/2018,3,4
12,12,Putter,Green,Green,20,Green,6,-0.479,Palmer,LaurelCreek,12/14/2018,3,3
13,13,Putter,Green,Green,6,Green,1,-0.644,Palmer,LaurelCreek,12/14/2018,3,2
14,14,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,3,1
15,15,Driver,Tee,Tee,420,Fairway,163,0.025,Palmer,LaurelCreek,12/14/2018,4,4
16,16,6i,APPR125-175,Fairway,163,Green,7,0.552,Palmer,LaurelCreek,12/14/2018,4,3
17,17,Putter,Green,Green,7,Green,3,-0.61,Palmer,LaurelCreek,12/14/2018,4,2
18,18,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/14/2018,4,1
19,19,Driver,Tee,Tee,490,Fairway,240,-0.1,Palmer,LaurelCreek,12/14/2018,5,6
20,20,3W,APPR210+,Fairway,240,Penalty,87,-1.531,Palmer,LaurelCreek,12/14/2018,5,5
21,21,Penalty,Penalty,Penalty,87,Penalty,0,0,Palmer,LaurelCreek,12/14/2018,5,4
22,22,SW,APPR<125,Rough,87,Green,10,0.355,Palmer,LaurelCreek,12/14/2018,5,3
23,23,Putter,Green,Green,10,Green,2,-0.383,Palmer,LaurelCreek,12/14/2018,5,2
24,24,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,12/14/2018,5,1
25,25,Driver,Tee,Tee,410,Fairway,180,-0.07,Palmer,LaurelCreek,12/14/2018,6,4
26,26,5i,APPR176-210,Fairway,180,Green,9,0.505,Palmer,LaurelCreek,12/14/2018,6,3
27,27,Putter,Green,Green,9,Green,3,-0.478,Palmer,LaurelCreek,12/14/2018,6,2
28,28,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/14/2018,6,1
29,29,5i,Tee,Tee,180,Green,35,0.034,Palmer,LaurelCreek,12/14/2018,7,4
30,30,Putter,Green,Green,35,Green,8,-0.499,Palmer,LaurelCreek,12/14/2018,7,3
31,31,Putter,Green,Green,8,Green,2,-0.494,Palmer,LaurelCreek,12/14/2018,7,2
32,32,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,12/14/2018,7,1
33,33,3W,Tee,Tee,330,Fairway,105,0.018,Palmer,LaurelCreek,12/14/2018,8,4
34,34,SW,APPR<125,Fairway,105,Green,12,0.107,Palmer,LaurelCreek,12/14/2018,8,3
35,35,Putter,Green,Green,12,Green,2,-0.304,Palmer,LaurelCreek,12/14/2018,8,2
36,36,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,12/14/2018,8,1
37,37,Driver,Tee,Tee,510,Fairway,240,0.03,Palmer,LaurelCreek,12/14/2018,9,6
38,38,3W,APPR210+,Fairway,240,Penalty,135,-1.445,Palmer,LaurelCreek,12/14/2018,9,5
39,39,Penalty,Penalty,Penalty,135,Penalty,0,0,Palmer,LaurelCreek,12/14/2018,9,4
40,40,PW,APPR125-175,Fairway,135,Green,25,-0.039,Palmer,LaurelCreek,12/14/2018,9,3
41,41,Putter,Green,Green,25,Green,3,-0.119,Palmer,LaurelCreek,12/14/2018,9,2
42,42,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/14/2018,9,1
43,43,Driver,Tee,Tee,410,Fairway,165,0.005,Palmer,LaurelCreek,12/14/2018,10,4
44,44,7i,APPR125-175,Fairway,165,Fairway,25,-0.455,Palmer,LaurelCreek,12/14/2018,10,3
45,45,SW,Short Game,Fairway,25,Green,4,0.313,Palmer,LaurelCreek,12/14/2018,10,2
46,46,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,12/14/2018,10,1
47,47,Driver,Tee,Tee,380,Fairway,145,0.032,Palmer,LaurelCreek,12/14/2018,11,3
48,48,7i,APPR125-175,Fairway,145,Green,3,0.875,Palmer,LaurelCreek,12/14/2018,11,2
49,49,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/14/2018,11,1
50,50,Driver,Tee,Tee,420,Fairway,180,-0.06,Palmer,LaurelCreek,12/14/2018,12,4
51,51,5i,APPR176-210,Fairway,180,Green,10,0.454,Palmer,LaurelCreek,12/14/2018,12,3
52,52,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,12/14/2018,12,2
53,53,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,12,1
54,54,Driver,Tee,Tee,360,Fairway,132,0.034,Palmer,LaurelCreek,12/14/2018,13,5
55,55,9i,APPR125-175,Fairway,132,Green,25,-0.048,Palmer,LaurelCreek,12/14/2018,13,4
56,56,Putter,Green,Green,25,Green,8,-0.581,Palmer,LaurelCreek,12/14/2018,13,3
57,57,Putter,Green,Green,8,Green,1,-0.486,Palmer,LaurelCreek,12/14/2018,13,2
58,58,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,13,1
59,59,6i,Tee,Tee,168,Green,30,0.036,Palmer,LaurelCreek,12/14/2018,14,4
60,60,Putter,Green,Green,30,Green,8,-0.537,Palmer,LaurelCreek,12/14/2018,14,3
61,61,Putter,Green,Green,8,Green,1,-0.486,Palmer,LaurelCreek,12/14/2018,14,2
62,62,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,14,1
63,63,Driver,Tee,Tee,510,Fairway,260,-0.1,Palmer,LaurelCreek,12/14/2018,15,6
64,64,3W,APPR210+,Fairway,260,Fairway,32,0.044,Palmer,LaurelCreek,12/14/2018,15,5
65,65,LW,Short Game,Fairway,32,Green,15,-0.254,Palmer,LaurelCreek,12/14/2018,15,4
66,66,Putter,Green,Green,15,Green,6,-0.567,Palmer,LaurelCreek,12/14/2018,15,3
67,67,Putter,Green,Green,6,Green,1,-0.644,Palmer,LaurelCreek,12/14/2018,15,2
68,68,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,15,1
69,69,Driver,Tee,Tee,420,Fairway,180,-0.06,Palmer,LaurelCreek,12/14/2018,16,6
70,70,5i,APPR176-210,Fairway,180,Sand,25,-0.515,Palmer,LaurelCreek,12/14/2018,16,5
71,71,LW,Short Game,Sand,25,Sand,15,-0.885,Palmer,LaurelCreek,12/14/2018,16,4
72,72,LW,Short Game,Sand,15,Rough,10,-0.86,Palmer,LaurelCreek,12/14/2018,16,3
73,73,LW,Short Game,Rough,10,Green,8,-0.175,Palmer,LaurelCreek,12/14/2018,16,2
74,74,Putter,Green,Green,8,In the Hole,0,0.515,Palmer,LaurelCreek,12/14/2018,16,1
75,75,5i,Tee,Tee,190,Rough,20,-0.5,Palmer,LaurelCreek,12/14/2018,17,4
76,76,SW,Short Game,Rough,20,Green,15,-0.2,Palmer,LaurelCreek,12/14/2018,17,3
77,77,Putter,Green,Green,15,Green,5,-0.466,Palmer,LaurelCreek,12/14/2018,17,2
78,78,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/14/2018,17,1
79,79,Driver,Tee,Tee,405,Fairway,163,0.005,Palmer,LaurelCreek,12/14/2018,18,5
80,80,8i,APPR125-175,Fairway,163,Rough,20,-0.595,Palmer,LaurelCreek,12/14/2018,18,4
81,81,LW,Short Game,Rough,20,Green,8,0.075,Palmer,LaurelCreek,12/14/2018,18,3
82,82,Putter,Green,Green,8,Green,1,-0.486,Palmer,LaurelCreek,12/14/2018,18,2
83,83,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/14/2018,18,1
1,1,Driver,Tee,Tee,420,Fairway,125,0.155,Palmer,LaurelCreek,11/11/2018,1,6
2,2,AW,APPR125-175,Fairway,125,Rough,15,-0.6,Palmer,LaurelCreek,11/11/2018,1,5
3,3,LW,Short Game,Rough,15,Fairway,20,-0.935,Palmer,LaurelCreek,11/11/2018,1,4
4,4,LW,Short Game,Fairway,20,Green,20,-0.478,Palmer,LaurelCreek,11/11/2018,1,3
5,5,Putter,Green,Green,20,Green,3,-0.175,Palmer,LaurelCreek,11/11/2018,1,2
6,6,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,1,1
7,7,3W,Tee,Tee,360,Recovery,200,-0.95,Palmer,LaurelCreek,11/11/2018,2,6
8,8,7i,Recovery,Recovery,200,Fairway,145,-0.058,Palmer,LaurelCreek,11/11/2018,2,5
9,9,8i,APPR125-175,Fairway,145,Fairway,20,-0.472,Palmer,LaurelCreek,11/11/2018,2,4
10,10,SW,Short Game,Fairway,20,Green,25,-0.534,Palmer,LaurelCreek,11/11/2018,2,3
11,11,Putter,Green,Green,25,Green,2,-0.075,Palmer,LaurelCreek,11/11/2018,2,2
12,12,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,11/11/2018,2,1
13,13,7i,Tee,Tee,163,Green,25,0.065,Palmer,LaurelCreek,11/11/2018,3,4
14,14,Putter,Green,Green,25,Green,5,-0.322,Palmer,LaurelCreek,11/11/2018,3,3
15,15,Putter,Green,Green,5,Green,1,-0.745,Palmer,LaurelCreek,11/11/2018,3,2
16,16,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,3,1
17,17,Driver,Tee,Tee,390,Rough,170,-0.29,Palmer,LaurelCreek,11/11/2018,4,4
18,18,6i,APPR125-175,Rough,170,Green,10,0.644,Palmer,LaurelCreek,11/11/2018,4,3
19,19,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,4,2
20,20,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,4,1
21,21,Driver,Tee,Tee,510,Fairway,243,0.011,Palmer,LaurelCreek,11/11/2018,5,5
22,22,6i,APPR210+,Fairway,243,Fairway,60,-0.231,Palmer,LaurelCreek,11/11/2018,5,4
23,23,SW,Short Game,Fairway,60,Green,15,-0.09,Palmer,LaurelCreek,11/11/2018,5,3
24,24,Putter,Green,Green,15,Green,2,-0.219,Palmer,LaurelCreek,11/11/2018,5,2
25,25,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,11/11/2018,5,1
26,26,Driver,Tee,Tee,410,Fairway,170,-0.02,Palmer,LaurelCreek,11/11/2018,6,3
27,27,6i,APPR125-175,Fairway,170,Green,1,1.029,Palmer,LaurelCreek,11/11/2018,6,2
28,28,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,6,1
29,29,4i,Tee,Tee,201,Rough,30,-0.577,Palmer,LaurelCreek,11/11/2018,7,5
30,30,LW,Short Game,Rough,30,Rough,10,-0.64,Palmer,LaurelCreek,11/11/2018,7,4
31,31,LW,Short Game,Rough,10,Green,25,-0.594,Palmer,LaurelCreek,11/11/2018,7,3
32,32,Putter,Green,Green,25,Green,4,-0.213,Palmer,LaurelCreek,11/11/2018,7,2
33,33,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,11/11/2018,7,1
34,34,3W,Tee,Tee,340,Fairway,125,-0.005,Palmer,LaurelCreek,11/11/2018,8,5
35,35,AW,APPR125-175,Fairway,125,Fairway,10,-0.315,Palmer,LaurelCreek,11/11/2018,8,4
36,36,Putter,Short Game,Fairway,10,Green,10,-0.446,Palmer,LaurelCreek,11/11/2018,8,3
37,37,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,8,2
38,38,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,8,1
39,39,Driver,Tee,Tee,510,Fairway,220,0.16,Palmer,LaurelCreek,11/11/2018,9,5
40,40,4i,APPR210+,Fairway,220,Green,50,0.185,Palmer,LaurelCreek,11/11/2018,9,4
41,41,Putter,Green,Green,50,Green,10,-0.491,Palmer,LaurelCreek,11/11/2018,9,3
42,42,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,9,2
43,43,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,9,1
44,44,Driver,Tee,Tee,410,Rough,153,-0.192,Palmer,LaurelCreek,11/11/2018,10,4
45,45,8i,APPR125-175,Rough,153,Green,20,0.324,Palmer,LaurelCreek,11/11/2018,10,3
46,46,Putter,Green,Green,20,Green,3,-0.175,Palmer,LaurelCreek,11/11/2018,10,2
47,47,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,10,1
48,48,Driver,Tee,Tee,380,Fairway,145,0.032,Palmer,LaurelCreek,11/11/2018,11,4
49,49,9i,APPR125-175,Fairway,145,Rough,15,-0.537,Palmer,LaurelCreek,11/11/2018,11,3
50,50,SW,Short Game,Rough,15,Green,1,0.464,Palmer,LaurelCreek,11/11/2018,11,2
51,51,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,11,1
52,52,Driver,Tee,Tee,420,Fairway,170,-0.01,Palmer,LaurelCreek,11/11/2018,12,4
53,53,6i,APPR125-175,Fairway,170,Green,20,0.152,Palmer,LaurelCreek,11/11/2018,12,3
54,54,Putter,Green,Green,20,Green,5,-0.378,Palmer,LaurelCreek,11/11/2018,12,2
55,55,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,11/11/2018,12,1
56,56,Driver,Tee,Tee,360,Fairway,130,0.04,Palmer,LaurelCreek,11/11/2018,13,4
57,57,PW,APPR125-175,Fairway,130,Green,20,0.002,Palmer,LaurelCreek,11/11/2018,13,3
58,58,Putter,Green,Green,20,Green,3,-0.175,Palmer,LaurelCreek,11/11/2018,13,2
59,59,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,13,1
60,60,6i,Tee,Tee,170,Rough,15,-0.445,Palmer,LaurelCreek,11/11/2018,14,4
61,61,LW,Short Game,Rough,15,Rough,14,-0.975,Palmer,LaurelCreek,11/11/2018,14,3
62,62,LW,Short Game,Rough,14,Green,3,0.387,Palmer,LaurelCreek,11/11/2018,14,2
63,63,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,14,1
64,64,Driver,Tee,Tee,510,Fairway,250,-0.035,Palmer,LaurelCreek,11/11/2018,15,6
65,65,3W,APPR210+,Fairway,250,Fairway,50,-0.145,Palmer,LaurelCreek,11/11/2018,15,5
66,66,LW,Short Game,Fairway,50,Rough,10,-0.68,Palmer,LaurelCreek,11/11/2018,15,4
67,67,LW,Short Game,Rough,10,Green,10,-0.286,Palmer,LaurelCreek,11/11/2018,15,3
68,68,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,15,2
69,69,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,15,1
70,70,Driver,Tee,Tee,410,Fairway,160,0.03,Palmer,LaurelCreek,11/11/2018,16,4
71,71,7i,APPR125-175,Fairway,160,Fairway,50,-0.68,Palmer,LaurelCreek,11/11/2018,16,3
