Index,Stroke,Club,Phase,Start Loc,Start Dist,End Loc,End Dist,Strokes Gained,Tee,Course,Date,Hole,Strokes to Hole
72,72,LW,Short Game,Fairway,50,Green,10,0.034,Palmer,LaurelCreek,11/11/2018,16,2
73,73,Putter,Green,Green,10,In the Hole,0,0.626,Palmer,LaurelCreek,11/11/2018,16,1
74,74,4i,Tee,Tee,220,Penalty,220,-2,Palmer,LaurelCreek,11/11/2018,17,5
75,75,Penalty,Penalty,Penalty,220,Penalty,0,0,Palmer,LaurelCreek,11/11/2018,17,4
76,76,9i,APPR125-175,Rough,145,Green,15,0.38,Palmer,LaurelCreek,11/11/2018,17,3
77,77,Putter,Green,Green,15,Green,3,-0.263,Palmer,LaurelCreek,11/11/2018,17,2
78,78,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,17,1
79,79,Driver,Tee,Tee,410,Fairway,150,0.065,Palmer,LaurelCreek,11/11/2018,18,5
80,80,8i,APPR125-175,Fairway,150,Rough,10,-0.395,Palmer,LaurelCreek,11/11/2018,18,4
81,81,SW,Short Game,Rough,10,Green,12,-0.365,Palmer,LaurelCreek,11/11/2018,18,3
82,82,Putter,Green,Green,12,Green,2,-0.304,Palmer,LaurelCreek,11/11/2018,18,2
83,83,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,11/11/2018,18,1
1,1,Driver,Tee,Tee,410,Rough,105,-0.025,Palmer,LaurelCreek,12/2/2018,1,4
2,2,SW,APPR<125,Rough,105,Green,35,0.019,Palmer,LaurelCreek,12/2/2018,1,3
3,3,Putter,Green,Green,35,Green,5,-0.24,Palmer,LaurelCreek,12/2/2018,1,2
4,4,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/2/2018,1,1
5,5,Driver,Tee,Tee,360,Penalty,360,-2,Palmer,LaurelCreek,12/2/2018,2,6
6,6,Penalty,Penalty,Penalty,360,Penalty,0,0,Palmer,LaurelCreek,12/2/2018,2,5
7,7,Driver,Tee,Tee,360,Rough,125,-0.178,Palmer,LaurelCreek,12/2/2018,2,4
8,8,AW,APPR125-175,Rough,125,Green,25,0.164,Palmer,LaurelCreek,12/2/2018,2,3
9,9,Putter,Green,Green,25,Green,3,-0.119,Palmer,LaurelCreek,12/2/2018,2,2
10,10,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/2/2018,2,1
11,11,6i,Tee,Tee,168,Green,5,0.758,Palmer,LaurelCreek,12/2/2018,3,3
12,12,Putter,Green,Green,5,Green,1,-0.745,Palmer,LaurelCreek,12/2/2018,3,2
13,13,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,3,1
14,14,Driver,Tee,Tee,390,Fairway,160,0,Palmer,LaurelCreek,12/2/2018,4,4
15,15,7i,APPR125-175,Fairway,160,Green,18,0.132,Palmer,LaurelCreek,12/2/2018,4,3
16,16,Putter,Green,Green,18,Green,4,-0.299,Palmer,LaurelCreek,12/2/2018,4,2
17,17,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,12/2/2018,4,1
18,18,Driver,Tee,Tee,510,Penalty,330,-1.505,Palmer,LaurelCreek,12/2/2018,5,7
19,19,Penalty,Penalty,Penalty,330,Penalty,0,0,Palmer,LaurelCreek,12/2/2018,5,6
20,20,3W,APPR210+,Rough,330,Fairway,250,-0.53,Palmer,LaurelCreek,12/2/2018,5,5
21,21,3W,APPR210+,Fairway,250,Fairway,25,0.055,Palmer,LaurelCreek,12/2/2018,5,4
22,22,8i,Short Game,Fairway,25,Green,10,-0.166,Palmer,LaurelCreek,12/2/2018,5,3
23,23,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,12/2/2018,5,2
24,24,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,5,1
25,25,Driver,Tee,Tee,420,Fairway,175,-0.035,Palmer,LaurelCreek,12/2/2018,6,5
26,26,6i,APPR176-210,Fairway,175,Fairway,20,-0.345,Palmer,LaurelCreek,12/2/2018,6,4
27,27,LW,Short Game,Fairway,20,Rough,10,-0.94,Palmer,LaurelCreek,12/2/2018,6,3
28,28,LW,Short Game,Rough,10,Green,5,0.084,Palmer,LaurelCreek,12/2/2018,6,2
29,29,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/2/2018,6,1
30,30,6i,Tee,Tee,169,Rough,12,-0.373,Palmer,LaurelCreek,12/2/2018,7,3
31,31,LW,Short Game,Rough,12,Green,5,0.134,Palmer,LaurelCreek,12/2/2018,7,2
32,32,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/2/2018,7,1
33,33,3W,Tee,Tee,350,Penalty,350,-2,Palmer,LaurelCreek,12/2/2018,8,6
34,34,Penalty,Penalty,Penalty,350,Penalty,0,0,Palmer,LaurelCreek,12/2/2018,8,5
35,35,3W,Tee,Tee,350,Fairway,105,0.078,Palmer,LaurelCreek,12/2/2018,8,4
36,36,SW,APPR<125,Fairway,105,Green,10,0.187,Palmer,LaurelCreek,12/2/2018,8,3
37,37,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,12/2/2018,8,2
38,38,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,8,1
39,39,Driver,Tee,Tee,510,Fairway,280,-0.17,Palmer,LaurelCreek,12/2/2018,9,5
40,40,3W,APPR210+,Fairway,280,Fairway,90,-0.12,Palmer,LaurelCreek,12/2/2018,9,4
41,41,SW,APPR<125,Fairway,90,Green,10,0.144,Palmer,LaurelCreek,12/2/2018,9,3
42,42,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,12/2/2018,9,2
43,43,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,9,1
44,44,Driver,Tee,Tee,410,Fairway,200,-0.18,Palmer,LaurelCreek,12/2/2018,10,4
45,45,4i,APPR176-210,Fairway,200,Fairway,20,-0.21,Palmer,LaurelCreek,12/2/2018,10,3
46,46,SW,Short Game,Fairway,20,Green,15,-0.39,Palmer,LaurelCreek,12/2/2018,10,2
47,47,Putter,Green,Green,15,In the Hole,0,0.79,Palmer,LaurelCreek,12/2/2018,10,1
48,48,Driver,Tee,Tee,400,Fairway,130,0.11,Palmer,LaurelCreek,12/2/2018,11,3
49,49,PW,APPR125-175,Fairway,130,Green,5,0.624,Palmer,LaurelCreek,12/2/2018,11,2
50,50,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/2/2018,11,1
51,51,Driver,Tee,Tee,420,Sand,190,-0.455,Palmer,LaurelCreek,12/2/2018,12,5
52,52,4i,APPR176-210,Sand,190,Fairway,30,-0.045,Palmer,LaurelCreek,12/2/2018,12,4
53,53,SW,Short Game,Fairway,30,Green,20,-0.358,Palmer,LaurelCreek,12/2/2018,12,3
54,54,Putter,Green,Green,20,Green,5,-0.378,Palmer,LaurelCreek,12/2/2018,12,2
55,55,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/2/2018,12,1
56,56,Driver,Tee,Tee,360,Fairway,135,0.025,Palmer,LaurelCreek,12/2/2018,13,5
57,57,PW,APPR125-175,Fairway,135,Rough,10,-0.445,Palmer,LaurelCreek,12/2/2018,13,4
58,58,Putter,Short Game,Rough,10,Green,15,-0.45,Palmer,LaurelCreek,12/2/2018,13,3
59,59,Putter,Green,Green,15,Green,1,-0.211,Palmer,LaurelCreek,12/2/2018,13,2
60,60,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,13,1
61,61,8i,Tee,Tee,150,Green,13,0.243,Palmer,LaurelCreek,12/2/2018,14,3
62,62,Putter,Green,Green,13,Green,2,-0.272,Palmer,LaurelCreek,12/2/2018,14,2
63,63,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,12/2/2018,14,1
64,64,Driver,Tee,Tee,510,Fairway,265,-0.117,Palmer,LaurelCreek,12/2/2018,15,5
65,65,3W,APPR210+,Fairway,265,Fairway,20,0.198,Palmer,LaurelCreek,12/2/2018,15,4
66,66,SW,Short Game,Fairway,20,Green,7,-0.043,Palmer,LaurelCreek,12/2/2018,15,3
67,67,Putter,Green,Green,7,Green,1,-0.558,Palmer,LaurelCreek,12/2/2018,15,2
68,68,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,15,1
69,69,Driver,Tee,Tee,390,Fairway,170,-0.05,Palmer,LaurelCreek,12/2/2018,16,4
70,70,6i,APPR125-175,Fairway,170,Green,20,0.152,Palmer,LaurelCreek,12/2/2018,16,3
71,71,Putter,Green,Green,20,Green,1,-0.123,Palmer,LaurelCreek,12/2/2018,16,2
72,72,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,16,1
73,73,4i,Tee,Tee,200,Rough,25,-0.525,Palmer,LaurelCreek,12/2/2018,17,4
74,74,SW,Short Game,Rough,25,Green,8,0.13,Palmer,LaurelCreek,12/2/2018,17,3
75,75,Putter,Green,Green,8,Green,1,-0.486,Palmer,LaurelCreek,12/2/2018,17,2
76,76,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,17,1
77,77,3W,Tee,Tee,410,Fairway,175,-0.045,Palmer,LaurelCreek,12/2/2018,18,4
78,78,6i,APPR176-210,Fairway,175,Green,9,0.48,Palmer,LaurelCreek,12/2/2018,18,3
79,79,Putter,Green,Green,9,Green,3,-0.478,Palmer,LaurelCreek,12/2/2018,18,2
80,80,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/2/2018,18,1
1,1,3W,Tee,Tee,390,Fairway,90,0.21,Palmer,LaurelCreek,6/3/2018,1,3
2,2,LW,APPR<125,Fairway,90,Green,4,0.623,Palmer,LaurelCreek,6/3/2018,1,2
3,3,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,6/3/2018,1,1
4,4,3H,Tee,Tee,360,Fairway,120,0.07,Palmer,LaurelCreek,6/3/2018,2,4
5,5,SW,APPR<125,Fairway,120,Green,30,-0.128,Palmer,LaurelCreek,6/3/2018,2,3
6,6,Putter,Green,Green,30,Green,3,-0.075,Palmer,LaurelCreek,6/3/2018,2,2
7,7,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,6/3/2018,2,1
8,8,9i,Tee,Tee,148,Rough,15,-0.487,Palmer,LaurelCreek,6/3/2018,3,4
9,9,LW,Short Game,Rough,15,Green,10,-0.161,Palmer,LaurelCreek,6/3/2018,3,3
10,10,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,6/3/2018,3,2
11,11,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,6/3/2018,3,1
12,12,3H,Tee,Tee,365,Rough,128,-0.178,Palmer,LaurelCreek,6/3/2018,4,3
13,13,AW,APPR125-175,Rough,128,Green,10,0.482,Palmer,LaurelCreek,6/3/2018,4,2
14,14,Putter,Green,Green,10,In the Hole,0,0.626,Palmer,LaurelCreek,6/3/2018,4,1
15,15,Driver,Tee,Tee,490,Fairway,179,0.275,Palmer,LaurelCreek,6/3/2018,5,4
16,16,7i,APPR176-210,Fairway,179,Rough,10,-0.265,Palmer,LaurelCreek,6/3/2018,5,3
17,17,LW,Short Game,Rough,10,Green,4,0.193,Palmer,LaurelCreek,6/3/2018,5,2
18,18,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,6/3/2018,5,1
19,19,Driver,Tee,Tee,410,Rough,200,-0.41,Palmer,LaurelCreek,6/3/2018,6,4
20,20,4i,APPR176-210,Rough,200,Green,12,0.715,Palmer,LaurelCreek,6/3/2018,6,3
21,21,Putter,Green,Green,12,Green,1,-0.296,Palmer,LaurelCreek,6/3/2018,6,2
22,22,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,6/3/2018,6,1
23,23,6i,Tee,Tee,160,Fairway,10,-0.19,Palmer,LaurelCreek,6/3/2018,7,3
24,24,SW,Short Game,Fairway,10,Green,4,0.033,Palmer,LaurelCreek,6/3/2018,7,2
25,25,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,6/3/2018,7,1
26,26,3H,Tee,Tee,320,Fairway,100,-0.01,Palmer,LaurelCreek,6/3/2018,8,4
27,27,9i,APPR<125,Fairway,100,Rough,15,-0.665,Palmer,LaurelCreek,6/3/2018,8,3
28,28,LW,Short Game,Rough,15,Green,12,-0.24,Palmer,LaurelCreek,6/3/2018,8,2
29,29,Putter,Green,Green,12,In the Hole,0,0.705,Palmer,LaurelCreek,6/3/2018,8,1
30,30,Driver,Tee,Tee,495,Sand,300,-0.66,Palmer,LaurelCreek,6/3/2018,9,6
31,31,7i,APPR210+,Sand,300,Fairway,160,0.06,Palmer,LaurelCreek,6/3/2018,9,5
32,32,6i,APPR125-175,Fairway,160,Sand,20,-0.55,Palmer,LaurelCreek,6/3/2018,9,4
33,33,LW,Short Game,Sand,20,Rough,17,-0.985,Palmer,LaurelCreek,6/3/2018,9,3
34,34,LW,Short Game,Rough,17,Green,12,-0.19,Palmer,LaurelCreek,6/3/2018,9,2
35,35,Putter,Green,Green,12,In the Hole,0,0.705,Palmer,LaurelCreek,6/3/2018,9,1
36,36,Driver,Tee,Tee,400,Fairway,155,0.028,Palmer,LaurelCreek,6/3/2018,10,5
37,37,8i,APPR125-175,Fairway,155,Sand,12,-0.488,Palmer,LaurelCreek,6/3/2018,10,4
38,38,LW,Short Game,Sand,12,Green,12,-0.255,Palmer,LaurelCreek,6/3/2018,10,3
39,39,Putter,Green,Green,12,Green,1,-0.296,Palmer,LaurelCreek,6/3/2018,10,2
40,40,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,6/3/2018,10,1
41,41,6i,Tee,Tee,325,Fairway,150,-0.135,Palmer,LaurelCreek,6/3/2018,11,3
42,42,9i,APPR125-175,Fairway,150,Green,7,0.502,Palmer,LaurelCreek,6/3/2018,11,2
43,43,Putter,Green,Green,7,In the Hole,0,0.443,Palmer,LaurelCreek,6/3/2018,11,1
44,44,Driver,Tee,Tee,420,Fairway,155,0.057,Palmer,LaurelCreek,6/3/2018,12,4
45,45,8i,APPR125-175,Fairway,155,Green,10,0.337,Palmer,LaurelCreek,6/3/2018,12,3
46,46,Putter,Green,Green,10,Green,2,-0.383,Palmer,LaurelCreek,6/3/2018,12,2
47,47,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,6/3/2018,12,1
48,48,3W,Tee,Tee,360,Fairway,90,0.15,Palmer,LaurelCreek,6/3/2018,13,3
49,49,SW,APPR<125,Fairway,90,Green,7,0.327,Palmer,LaurelCreek,6/3/2018,13,2
50,50,Putter,Green,Green,7,In the Hole,0,0.443,Palmer,LaurelCreek,6/3/2018,13,1
51,51,7i,Tee,Tee,155,Green,4,0.838,Palmer,LaurelCreek,6/3/2018,14,2
52,52,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,6/3/2018,14,1
53,53,Driver,Tee,Tee,490,Fairway,235,-0.068,Palmer,LaurelCreek,6/3/2018,15,5
54,54,3W,APPR210+,Fairway,235,Fairway,45,-0.212,Palmer,LaurelCreek,6/3/2018,15,4
55,55,SW,Short Game,Fairway,45,Green,12,-0.075,Palmer,LaurelCreek,6/3/2018,15,3
56,56,Putter,Green,Green,12,Green,1,-0.296,Palmer,LaurelCreek,6/3/2018,15,2
57,57,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,6/3/2018,15,1
58,58,Driver,Tee,Tee,380,Rough,125,-0.138,Palmer,LaurelCreek,6/3/2018,16,4
59,59,PW,APPR125-175,Rough,125,Green,10,0.472,Palmer,LaurelCreek,6/3/2018,16,3
60,60,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,6/3/2018,16,2
61,61,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,6/3/2018,16,1
62,62,5i,Tee,Tee,190,Rough,25,-0.555,Palmer,LaurelCreek,6/3/2018,17,5
63,63,LW,Short Game,Rough,25,Rough,25,-1,Palmer,LaurelCreek,6/3/2018,17,4
64,64,LW,Short Game,Rough,25,Green,30,-0.333,Palmer,LaurelCreek,6/3/2018,17,3
65,65,Putter,Green,Green,30,Green,2,-0.031,Palmer,LaurelCreek,6/3/2018,17,2
66,66,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,6/3/2018,17,1
67,67,3W,Tee,Tee,410,Fairway,152,0.058,Palmer,LaurelCreek,6/3/2018,18,4
68,68,7i,APPR125-175,Fairway,152,Green,15,0.162,Palmer,LaurelCreek,6/3/2018,18,3
69,69,Putter,Green,Green,15,Green,2,-0.219,Palmer,LaurelCreek,6/3/2018,18,2
70,70,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,6/3/2018,18,1
1,1,Driver,Tee,Tee,400,Rough,130,-0.125,Palmer,LaurelCreek,5/29/2018,1,5
2,2,PW,APPR125-175,Rough,130,Fairway,20,-0.285,Palmer,LaurelCreek,5/29/2018,1,4
3,3,SW,Short Game,Fairway,20,Green,20,-0.478,Palmer,LaurelCreek,5/29/2018,1,3
4,4,Putter,Green,Green,20,Green,3,-0.175,Palmer,LaurelCreek,5/29/2018,1,2
5,5,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,5/29/2018,1,1
6,6,3H,Tee,Tee,360,Fairway,135,0.025,Palmer,LaurelCreek,5/29/2018,2,4
7,7,PW,APPR125-175,Fairway,135,Green,20,0.017,Palmer,LaurelCreek,5/29/2018,2,3
8,8,Putter,Green,Green,20,Green,2,-0.131,Palmer,LaurelCreek,5/29/2018,2,2
9,9,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,5/29/2018,2,1
10,10,PW,Tee,Tee,128,Sand,10,-0.448,Palmer,LaurelCreek,5/29/2018,3,5
11,11,LW,Short Game,Sand,10,Sand,12,-1.02,Palmer,LaurelCreek,5/29/2018,3,4
12,12,LW,Short Game,Sand,12,Green,30,-0.528,Palmer,LaurelCreek,5/29/2018,3,3
13,13,Putter,Green,Green,30,Green,4,-0.169,Palmer,LaurelCreek,5/29/2018,3,2
14,14,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,5/29/2018,3,1
15,15,3W,Tee,Tee,350,Fairway,100,0.09,Palmer,LaurelCreek,5/29/2018,4,4
16,16,LW,APPR<125,Fairway,100,Green,10,0.174,Palmer,LaurelCreek,5/29/2018,4,3
17,17,Putter,Green,Green,10,Green,8,-0.889,Palmer,LaurelCreek,5/29/2018,4,2
18,18,Putter,Green,Green,8,In the Hole,0,0.515,Palmer,LaurelCreek,5/29/2018,4,1
19,19,Driver,Tee,Tee,520,Rough,270,-0.245,Palmer,LaurelCreek,5/29/2018,5,6
20,20,6i,APPR210+,Rough,270,Fairway,103,-0.022,Palmer,LaurelCreek,5/29/2018,5,5
21,21,LW,APPR<125,Fairway,103,Green,50,-0.328,Palmer,LaurelCreek,5/29/2018,5,4
22,22,Putter,Green,Green,50,Green,8,-0.38,Palmer,LaurelCreek,5/29/2018,5,3
23,23,Putter,Green,Green,8,Green,1,-0.486,Palmer,LaurelCreek,5/29/2018,5,2
24,24,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,5/29/2018,5,1
25,25,Driver,Tee,Tee,410,Fairway,100,0.21,Palmer,LaurelCreek,5/29/2018,6,4
26,26,LW,APPR<125,Fairway,100,Green,12,0.095,Palmer,LaurelCreek,5/29/2018,6,3
27,27,Putter,Green,Green,12,Green,1,-0.296,Palmer,LaurelCreek,5/29/2018,6,2
28,28,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,5/29/2018,6,1
29,29,9i,Tee,Tee,150,Green,30,0.002,Palmer,LaurelCreek,5/29/2018,7,3
30,30,Putter,Green,Green,30,Green,4,-0.169,Palmer,LaurelCreek,5/29/2018,7,2
31,31,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,5/29/2018,7,1
32,32,5i,Tee,Tee,310,Fairway,100,-0.05,Palmer,LaurelCreek,5/29/2018,8,4
33,33,LW,APPR<125,Fairway,100,Green,15,0.01,Palmer,LaurelCreek,5/29/2018,8,3
34,34,Putter,Green,Green,15,Green,1,-0.211,Palmer,LaurelCreek,5/29/2018,8,2
35,35,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,5/29/2018,8,1
36,36,3H,Tee,Tee,480,Fairway,179,0.205,Palmer,LaurelCreek,5/29/2018,9,3
37,37,6i,APPR176-210,Fairway,179,Green,22,0.172,Palmer,LaurelCreek,5/29/2018,9,2
38,38,Putter,Green,Green,22,In the Hole,0,0.903,Palmer,LaurelCreek,5/29/2018,9,1
39,39,Driver,Tee,Tee,410,Fairway,125,0.145,Palmer,LaurelCreek,5/29/2018,10,4
40,40,AW,APPR125-175,Fairway,125,Green,20,-0.013,Palmer,LaurelCreek,5/29/2018,10,3
41,41,Putter,Green,Green,20,Green,5,-0.378,Palmer,LaurelCreek,5/29/2018,10,2
42,42,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,5/29/2018,10,1
43,43,3H,Tee,Tee,330,Rough,105,-0.205,Palmer,LaurelCreek,5/29/2018,11,4
44,44,LW,APPR<125,Rough,105,Rough,10,-0.305,Palmer,LaurelCreek,5/29/2018,11,3
45,45,LW,Short Game,Rough,10,Green,4,0.193,Palmer,LaurelCreek,5/29/2018,11,2
46,46,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,5/29/2018,11,1
47,47,Driver,Tee,Tee,410,Fairway,160,0.03,Palmer,LaurelCreek,5/29/2018,12,5
48,48,7i,APPR125-175,Fairway,160,Fairway,15,-0.31,Palmer,LaurelCreek,5/29/2018,12,4
49,49,8i,Short Game,Fairway,15,Green,10,-0.336,Palmer,LaurelCreek,5/29/2018,12,3
50,50,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,5/29/2018,12,2
51,51,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,5/29/2018,12,1
52,52,Driver,Tee,Tee,375,Fairway,135,0.055,Palmer,LaurelCreek,5/29/2018,13,4
53,53,9i,APPR125-175,Fairway,135,Green,10,0.269,Palmer,LaurelCreek,5/29/2018,13,3
54,54,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,5/29/2018,13,2
55,55,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,5/29/2018,13,1
56,56,7i,Tee,Tee,165,Rough,10,-0.335,Palmer,LaurelCreek,5/29/2018,14,3
57,57,LW,Short Game,Rough,10,Green,5,0.084,Palmer,LaurelCreek,5/29/2018,14,2
58,58,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,5/29/2018,14,1
59,59,3W,Tee,Tee,490,Fairway,225,-0.003,Palmer,LaurelCreek,5/29/2018,15,4
60,60,4i,APPR210+,Fairway,225,Rough,20,-0.237,Palmer,LaurelCreek,5/29/2018,15,3
61,61,SW,Short Game,Rough,20,Green,8,0.075,Palmer,LaurelCreek,5/29/2018,15,2
62,62,Putter,Green,Green,8,In the Hole,0,0.515,Palmer,LaurelCreek,5/29/2018,15,1
63,63,3W,Tee,Tee,360,Fairway,105,0.107,Palmer,LaurelCreek,5/29/2018,16,4
64,64,AW,APPR<125,Fairway,105,Green,12,0.107,Palmer,LaurelCreek,5/29/2018,16,3
65,65,Putter,Green,Green,12,Green,2,-0.304,Palmer,LaurelCreek,5/29/2018,16,2
66,66,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,5/29/2018,16,1
67,67,6i,Tee,Tee,190,Green,18,0.242,Palmer,LaurelCreek,5/29/2018,17,3
68,68,Putter,Green,Green,18,Green,2,-0.161,Palmer,LaurelCreek,5/29/2018,17,2
69,69,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,5/29/2018,17,1
70,70,3W,Tee,Tee,407,Fairway,135,0.109,Palmer,LaurelCreek,5/29/2018,18,4
71,71,PW,APPR125-175,Fairway,135,Green,10,0.269,Palmer,LaurelCreek,5/29/2018,18,3
72,72,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,5/29/2018,18,2
73,73,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,5/29/2018,18,1
1,1,Driver,Tee,Tee,410,Fairway,160,0.03,Palmer,LaurelCreek,3/18/2018,1,6
2,2,7i,APPR125-175,Fairway,160,Fairway,25,-0.48,Palmer,LaurelCreek,3/18/2018,1,5
3,3,SW,Short Game,Fairway,25,Green,30,-0.518,Palmer,LaurelCreek,3/18/2018,1,4
